mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,openrun,prfstate
PF244037,"제2회 스타아트 연극제 경연작, 래러미 프로젝트",2024.07.17,2024.07.18,씨어터조이 (구. 마당세실극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF244037_240701_104728.gif,연극,N,공연예정
PF244025,성해라 플루트 리사이틀,2024.07.17,2024.07.17,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF244025_240701_101613.gif,서양음악(클래식),N,공연예정
PF243998,물고양이,2024.07.11,2024.09.29,맥거핀 서교,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243998_240628_133503.jpg,연극,N,공연중
PF243973,제40회 예원학교 정기연주회,2024.07.17,2024.07.17,서울아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243973_240628_110911.gif,서양음악(클래식),N,공연예정
PF243966,이지선 피아노 독주회,2024.07.17,2024.07.17,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF243966_240628_104511.gif,서양음악(클래식),N,공연예정
PF243954,이솝이 들려주는 이야기 이솝,2024.07.02,2024.08.31,송파어린이문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243954_240628_101420.jpeg,연극,N,공연중
PF243862,삼막사장 [대학로],2024.07.12,2024.08.04,대학로 마로니에소극장(플레이더씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF243862_240627_093849.gif,연극,N,공연중
PF243857,"줄라이 페스티벌, 슈만이라는 바다: 백진주, 정지원, 정찬연 외",2024.07.17,2024.07.17,예술가의 집,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243857_240627_091831.png,서양음악(클래식),N,공연예정
PF243836,휴먼코메디 [대학로],2024.07.03,2024.07.21,소극장 플랫폼74,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243836_240626_142327.gif,연극,N,공연중
PF243797,앙상블 로맨티코 콘서트,2024.07.17,2024.07.17,세종문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243797_240626_113822.gif,서양음악(클래식),N,공연예정
PF243772,"김영희춤연구소, 소고놀음4 허튼",2024.07.17,2024.07.17,남산골한옥마을,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243772_240626_103135.jpg,무용,N,공연예정
PF243743,"피크닉#4, 등등곡",2024.07.17,2024.07.19,티오엠씨어터(구. 문화공간필링),http://www.kopis.or.kr/upload/pfmPoster/PF_PF243743_240625_140419.gif,뮤지컬,N,공연예정
PF243664,화음: 비로소 옷깃 여미어 장단을 마주하네,2024.07.16,2024.07.23,한국문화의집 KOUS,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243664_240624_160119.jpg,한국음악(국악),N,공연중
PF243646,"제24회 전통예술제전, 무아",2024.07.17,2024.07.17,국립국악원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243646_240705_145700.jpg,한국음악(국악),N,공연예정
PF243534,아이캔플라이,2024.07.05,2024.07.20,온맘씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243534_240621_141341.gif,뮤지컬,N,공연중
PF243523,한 평을 위한 모노드라마,2024.07.11,2024.07.20,연희예술극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243523_240621_132839.png,연극,N,공연중
PF243515,My Dear Anger [대학로],2024.07.11,2024.08.04,연우소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243515_240621_130522.jpg,연극,N,공연중
PF243492,"제11회 대한민국 신진연출가전 브릿지 페스타, 4막: 순수 오아시스",2024.07.17,2024.07.18,삼일로창고극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243492_240621_110601.jpg,연극,N,공연예정
PF243443,지브리 영화음악 콘서트 (7월),2024.07.17,2024.07.24,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243443_240620_142212.gif,서양음악(클래식),N,공연예정
PF243378,"제4회 소극장 공유 페스티벌 연극, 생각을 잇-다: 킬링 맥벌스",2024.07.11,2024.07.21,소극장 공유,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243378_240620_101601.gif,연극,N,공연중
PF243366,"제6회 페미니즘 연극제, 건널목 교차로",2024.07.17,2024.07.21,나온씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243366_240620_094349.gif,연극,N,공연예정
PF243342,트루스토리 [대학로],2024.07.09,2024.08.11,예그린씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243342_240619_142000.png,뮤지컬,N,공연중
PF243335,오월의 하루 (앵콜),2024.07.11,2024.07.28,올림아트센터(구.스튜디오76),http://www.kopis.or.kr/upload/pfmPoster/PF_PF243335_240619_134159.gif,연극,N,공연중
PF243328,"행복: 행복, 장면만들기, 마음스케치",2024.07.01,2024.07.31,효원소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243328_240619_132321.gif,연극,N,공연중
PF243281,일무일악 Ⅰ,2024.07.17,2024.07.17,서울돈화문국악당,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243281_240619_095750.jpg,무용,N,공연예정
PF243258,"토들러 클래식 콘서트, 영유아 클래식 콘서트: TRAVEL [목동]",2024.06.19,2024.07.27,엉클영버스튜디오,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243258_240618_135213.png,서양음악(클래식),N,공연중
PF243224,빨간기타 [대학로],2024.07.04,2024.07.21,열린극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243224_240618_105425.gif,뮤지컬,N,공연중
PF243177,"제8회 미스터리 스릴러전, 밈",2024.07.17,2024.07.21,소극장 혜화당(구. 까망소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF243177_240617_161559.gif,연극,N,공연예정
PF243168,쉘터 [대학로],2024.07.04,2024.07.28,상명아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243168_240617_150112.gif,연극,N,공연중
PF243081,유진과 유진 [대학로],2024.07.06,2024.09.22,링크아트센터드림,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243081_240617_100852.gif,뮤지컬,N,공연중
PF243062,별이 빛나는 밤에 [서울],2024.07.05,2024.12.31,상명아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF243062_240614_132535.png,연극,N,공연중
PF242914,"창작공감: 연출, 전기 없는 마을",2024.07.11,2024.08.04,홍익대 대학로 아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242914_240613_104431.jpg,연극,N,공연중
PF242871,"진천이 추천하는 진천 추천연극, 진천사는 추천석",2024.07.04,2024.07.21,여행자극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242871_240612_143042.gif,연극,N,공연중
PF242836,투가이즈쇼 #2. GENERATION,2024.07.08,2024.10.07,구름아래소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242836_240612_124051.jpg,뮤지컬,N,공연중
PF242760,임대아파트 [대학로],2024.07.05,2024.09.01,공간아울,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242760_240611_113714.gif,연극,N,공연중
PF242666,페인터즈 [서대문전용관],2024.06.05,2024.08.31,NH아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242666_240610_144612.gif,뮤지컬,N,공연중
PF242604,킬링 유어 파더,2024.07.04,2024.07.21,민송아트홀 (구. 브로드웨이아트홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF242604_240610_115843.jpg,연극,N,공연중
PF242516,"국립극단, 햄릿",2024.07.05,2024.07.29,국립극단 [명동],http://www.kopis.or.kr/upload/pfmPoster/PF_PF242516_240607_150714.jpg,연극,N,공연중
PF242500,연남장 캬바레: THE RIDE OF MY LIFE,2024.07.05,2024.07.24,연남장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242500_240607_142918.gif,뮤지컬,N,공연중
PF242456,아이위시 [서울],2024.07.05,2024.08.31,연남장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242456_240607_122831.gif,뮤지컬,N,공연중
PF242455,오늘 처음 만드는 뮤지컬 [서울],2024.07.05,2024.08.31,연남장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF242455_240607_121736.gif,뮤지컬,N,공연중
