,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
153,[토스] Financial System Engineer (영업회계시스템),㈜비바리퍼블리카,모바일·APP,벤처기업 (비상장),"1,405명",2013년(12년차),경력,학력무관,명시되어있지않음,정규직,회사내규에따름 -면접후결정,서울시강남구
154,[(주)윈텍오토메이션] 장비운영S/W 개발,㈜윈텍오토메이션,그외기타특수목적용기계제조업,중소기업 (비상장),73명,2004년(21년차),경력무관,초대졸이상,"C,C#,C++,JAVA,Python","정규직수습3개월   병역특례현역,보충역,전문연구요원",회사내규에따름 -면접후결정,경기도수원시영통구
155,주성엔지니어링 2024 정보기술(IT) 신입 채용,주성엔지니어링㈜,반도체제조용기계제조업,중견기업 (코스닥),507명,1995년(30년차),신입,고졸이상,명시되어있지않음,정규직수습3개월,"연봉4,500만원이상",경기도용인시기흥구
156,[KT그룹사-나스미디어] 광고 플랫폼 개발 담당자 채용 (2년 이상),㈜나스미디어,광고대행업,대기업 (코스닥),424명,2000년(25년차),경력 (2년이상),대졸이상,"C,JAVA,NoSQL,Python,RDBMS,Unix,Linux",정규직수습3개월,회사내규에따름 -면접후결정,서울시강남구
157,잡코리아 Tech 인재 상시채용,잡코리아(유),포털·컨텐츠·커뮤니티,중견기업 (비상장),530명,1996년(29년차),경력무관,대졸이상,명시되어있지않음,정규직수습3개월,회사내규에따름 -면접후결정,"서울시서초구 ,강남구"
158,2024년 상반기 각 부문 신입 및 경력 채용,㈜휴니버스글로벌,솔루션·SI·CRM·ERP,중소기업 (비상장),78명,2019년(6년차),신입·경력 (3년이상) 직무에따라상이,학력무관직무에따라상이,명시되어있지않음,정규직,회사내규에따름 -면접후결정,"서울시동대문구 ,강북구 ,중구 ,종로구 ,성북구 ,성동구 ,중랑구 ,광진구"
159,DW Engineer / 병원정보시스템 개발자,㈜플랜잇스퀘어(PLANIT SQUARE Inc.),컴퓨터시스템통합자문및구축서비스업,중소기업 (비상장),29명,2020년(5년차),경력 (2년이상),학력무관,"AWS,Git,HTML,iOS,Javascript,MSSQL,Python,SQL,Linux,SpringFramework",정규직수습3개월,"연봉3,500~8,000만원",서울시강남구
160,[(주)뷰브레인헬스케어] 인공지능 리서처(의료영상) 채용,㈜뷰브레인헬스케어,응용소프트웨어개발및공급업,중소기업 (비상장),17명,2022년(3년차),경력무관,대졸이상,"Keras,Python,Pytorch,Tensorflow,CNN,CT,CUDA,DL,EMR,MRI",정규직수습3개월,"연봉4,000~10,000만원 -면접후결정",서울시강남구
161,웹 / 응용 프로그램 / 데이터베이스 개발,㈜인브레인,솔루션·SI·CRM·ERP,중소기업 (비상장),53명,2000년(25년차),신입,대졸이상(졸업예정자가능),".Net,ASP.NET,C#,JAVA,Javascript,MSSQL,Oracle,Python,Window,Ai",정규직수습기간협의,"연봉3,000~3,500만원 -면접후결정",서울시금천구
162,[경력/신입] 공공데이터 및 데이터기반 행정 유경험자 특별 채용,㈜이노포스트,기타엔지니어링서비스업,중소기업 (비상장),23명,2011년(14년차),신입·경력 (3년이상),대졸이상,"Hadoop,SQL,BigQuery,DBMS,JSON,정보처리기사자격",정규직수습3개월,회사내규에따름 -면접후결정,서울시서초구
163,유지보수업무담당자모집,컴퓨터수리,컴퓨터·하드웨어·장비,중소기업 (비상장),22명,2018년(7년차),신입·경력,학력무관,명시되어있지않음,정규직   계약직   프리랜서,월급400~850만원,서울시성북구
164,[CJ계열사/대기업] 데이터 추출 및 분석 관리보조 채용,㈜인코스파트너스,임시및일용인력공급업,중소기업 (비상장),4명,2008년(17년차),경력무관,초대졸이상,명시되어있지않음,계약직근무기간12개월,월급272~272만원,"서울시용산구 ,서울전지역 ,노원구 ,도봉구 ,성동구 ,동작구"
165,[판교/경력직 채용]  슈어소프트테크(연구/검증/개발자) 경력자 모집,㈜H&T,경영컨설팅및공공관계서비스업,중소기업 (비상장),195명,1997년(28년차),경력,학력무관,"API,C#,C++,JAVA,Python",정규직,회사내규에따름,"경기도성남시수정구 ,경기전지역 ,서울전지역"
166,멀티모달 엔지니어 채용,로민,솔루션·SI·CRM·ERP,벤처기업 (비상장),38명,2018년(7년차),경력 (5년이상),대졸이상,"OpenCV,Python,Pytorch,Tensorflow,detectron2,onnx,mmdetection,AdelaiDet",정규직수습3개월,"연봉7,000만원이상 -면접후결정",서울시서초구
167,"KDT / 빅데이터 분석,시각화 강사 채용(자바,파이썬,DB,AI,머신러닝,딥러닝 등)",㈜연세교육아카데미,학원·어학원·교육원,중소기업 (비상장),25명,1994년(31년차),경력 (2년이상),학력무관,"빅데이터분석,자바,JAVA,파이썬,Python,리눅스,Linux,프론트엔드,HTML,CSS,자바스크립트,데이터베이스,SQL,MySQL,Oracle,빅데이터시각화,교사,강사,교강사,강의,직업훈련,인공지능,머신러닝,딥러닝,자연어처리",계약직근무기간협의 정규직전환가능,회사내규에따름 -면접후결정,경기도수원시장안구
