mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,prfcast,prfcrew,prfruntime,prfage,entrpsnm,pcseguidance,poster,sty,genrenm,openrun,prfstate,mt10id,dtguidance,styurls
PF236863,달 샤베트 [서울숲],2024.04.13,2024.08.28,더 서울라이티움 (갤러리아포레) (G층 전용관), ,"김영인, 홍승희, 한보람 등",1시간,24개월 이상,할리퀸크리에이션즈(주),"전석 66,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236863_240307_112809.gif, ,뮤지컬,N,공연중,FC002012,"화요일 ~ 금요일(11:00,14:00), 토요일 ~ 일요일(11:00,14:00,16:00), HOL(11:00,14:00,16:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236863_240307_1128090.jpg']
PF236674,썸데이 [대학로],2024.03.16,2024.08.31,대학로 무하아트센터 (대학로 무하아트센터),"김서별, 김여진, 표혜미, 이하은, 윤환호, 윤진웅, 정지환 등","장혁우, 김재덕, 변주은 등",1시간 40분,만 7세 이상,극단 무하,"전석 55,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236674_240305_110135.jpg, ,뮤지컬,Y,공연중,FC003868,"월요일 ~ 금요일(19:30), 토요일 ~ 일요일(14:00,16:20), HOL(14:00,16:20)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236674_240625_1142471.jpg']
PF236545,뱀프 X 헌터: 울부짖어라! 피닉스 포포!!,2024.04.12,2024.07.31,JS아트홀 (구. 고스트씨어터 구.다소니씨어터) (JS아트홀 (구. 고스트씨어터 구.다소니씨어터)),"표혜미, 한슬, 이선주, 차윤오, 송정훈, 서형준, 김석환 등","노재환, 박정인, 김지은 등",1시간 30분,만 11세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236545_240304_141647.gif, ,뮤지컬,Y,공연중,FC001859,"월요일 ~ 금요일(17:00,20:00), 토요일(14:00,17:00), 일요일(15:00,18:00), HOL(15:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236545_240520_0158551.jpg']
PF236535,핑크퐁과 아기상어의 무지개 구출 작전,2024.05.01,2024.08.25,올림픽공원 (뮤즈라이브), , ,1시간 40분,24개월 이상, ,"전석(평일 플레이 패키지) 88,000원, 전석(주말 플레이 뮤지컬) 70,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236535_240304_135417.gif, ,뮤지컬,N,공연중,FC001247,"목요일 ~ 금요일(11:00,15:00), 토요일(11:00,14:00,16:30), 일요일(11:00,14:00), HOL(11:00,14:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236535_240304_0154170.jpg']
PF236414,불편한 편의점 [대학로],2024.04.01,2024.08.31,올웨이즈 씨어터(구.아티스탄홀) (올웨이즈 씨어터(구.아티스탄홀)),"김경호, 김동준, 윤토왕, 장우진, 정여성, 강지원, 고혜미 등","황기현, 홍현우, 김은지 등",1시간 40분,만 7세 이상,극단 지우,"올웨이즈석 60,000원, 파라솔석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236414_240327_133238.jpg, ,연극,Y,공연중,FC000372,"수요일 ~ 금요일(19:30), 토요일(14:00,17:00), 일요일(14:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236414_240625_0149391.jpg']
PF236349,난타 [홍대],2024.04.01,2024.09.29,홍대난타극장(구. 뮤직쇼웨딩 전용관) (홍대난타극장(구. 뮤직쇼웨딩 전용관)), , ,1시간 30분,12개월 이상,(주)피엠씨프러덕션(PMC Production),"VIP석 70,000원, S석 60,000원, A석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236349_240228_140949.jpeg, ,뮤지컬,Y,공연중,FC000090,"목요일 ~ 금요일(17:00), 토요일(14:00,17:00), 일요일(14:00), HOL(14:00,17:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236349_240228_0209490.jpg']
PF236210,아기돼지삼형제: 늑대숲 또옹돼지 원정대,2024.03.23,2024.07.28,제나아트홀 (구. 룸씨어터) (제나아트홀 (구. 룸씨어터) ), , ,1시간,24개월 이상,지니아트랩,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236210_240326_093508.gif, ,뮤지컬,Y,공연중,FC003171,"토요일 ~ 일요일(11:20,12:50)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236210_240326_0934022.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236210_240326_0934021.jpg']"
PF236138,소년 이순신: 잃어버린 거북선 설계도를 찾아라!,2024.06.01,2024.09.01,경복궁아트홀 (경복궁아트홀),"서정화, 정춘권, 전용우, 정영서","서정화, 정춘권, 박광배 등",1시간 10분,36개월 이상,"경복궁아트홀, 극단 오렌지컴퍼니(오렌지아트컴퍼니)","전석 30,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF236138_240702_092634.jpg, ,뮤지컬,N,공연중,FC000194,"토요일 ~ 일요일(14:00), HOL(14:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF236138_240702_0925141.jpg']
PF235885,사내연애 보고서,2024.03.15,2024.07.31,제나아트홀 (구. 룸씨어터) (제나아트홀 (구. 룸씨어터) ),"유이주, 이궁아라, 이유리, 이해찬, 홍대권, 이동구, 이진호 등", ,1시간 40분,만 7세 이상,(주)딴,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235885_240221_111208.gif, ,연극,Y,공연중,FC003171,"화요일 ~ 목요일(16:30), 금요일(16:30,19:00), 토요일(15:00,15:10,17:10,17:30,19:20), 일요일(14:30,16:30,16:40), HOL(14:30,15:00,16:40,17:10,19:20)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235885_240221_1112083.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235885_240221_1112082.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235885_240221_1112081.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235885_240221_1112080.jpg']"
PF235879,피노키오야 노올자~!,2024.03.23,2024.08.31,서연아트홀(구. 인아소극장) (서연아트홀(구. 인아소극장)),"민정섭, 장예슬, 이지연, 박소현, 이보윤","이영진, 민정섭",1시간,24개월 이상,지니아트랩,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235879_240221_105721.gif, ,뮤지컬,Y,공연중,FC001223,"토요일 ~ 일요일(11:20,12:50)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235879_240221_1057211.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235879_240221_1057210.jpg']"
